TwoD coordinates;2D Koordinaten
ThreeD coordinates;3D Koordinaten
ThreeD Object;3d Objekt
Derivative;Abgeleite
Dependency relation;Abhngigkeitsrelation
Piecewise-function;abschnittsweise definierte Funktion
Absolute frequency;absolute Hufigkeit
Reflection in a line;Achsenspiegelung
Affine function;affine Funktion
Algebraic calculation;algebraische Berechnung
Algebraic expression;algebraischer Ausdruck
Quotient;Anteil
Inverse proportionality function;Antiproportionale Funktion
Real world problem;Anwendungsaufgaben
Archimedean solid;Archimedischer Krper
Arithmetic Sequence;arithmetische Folge
Mean;arithmetisches Mittel
Enlargement;Aufweitung
Expression;Ausdruck
Outlier;Ausrei§er
Sample;Auswahl
Case count;Auszhlung
Bar chart;Balkendiagramm
Tree diagram;Baumdiagramm
Conditional probability;bedingte Wahrscheinlichkeit
Bounded operators;Beschrnkte lineare Operatoren
Proof;Beweis
Coloring Proof;Beweis durch Einfrbung
Methods of Proof;Beweismethoden
Box plot;Boxplot
Circle of latitude;Breitenkreis
Fraction;Bruch
Computer Arithmetic;Computer Artihmetik
CAS;Computeralgebrasystem
Graphing Techniques;Darstellungstechniken fr Funktionen
Data;Daten
Data collect;Daten erfassen
Deductive method;deduktive Methode
Domain and range;Definitions- und Wertebereich
Decimal number;Dezimalzahl
Mode;dichtester Wert
Direct Proof;direkter Beweis
Discrete random variable;diskrete Zufallsvariable
Dividend;Dividend
Remainder;Divisionsrest
Dodecahedron;Dodekaeder
Mean variation ratio of a function in an interval;durchschnittliche €nderungsrate
Dynamic interactive geometry environments;dynamische interaktive Geometrieumgebung
Plane;Ebene
Plane in coordinate system;Ebene in einem Koordinatensystem
Equation of a plane;Ebenengleichung
Reflection in a plane;Ebenenspiegelung
Function plot features;Eigenschaften eines Funktionsgraphen
Data chart features;Eigenschaften von Diagrammen
Simple calculation of volume;einfache Berechnung von Volumina
Simple event;einfaches Ereignis
Ellipse;Ellipse
Equation of an ellipse;Ellipsengleichung
Event;Ereignis
Sample space;Ereignisraum
Exponential function;Exponentialfunktion
Problems from other subjects;Fcherbergreifende Problemstellungen
Factorization;Faktorisierung
Increasing and decreasing;fallend und steigend
Error in a plot;Fehler in einem Graph
Fibonacci Sequence;Fibonacci Folge
Sequence;Folge
Formula;Formel
Formula for area;Formel fr den Flcheninhalt
Formula for angle;Formel fr einen Winkel
Function;Funktion
Wording of a function;Funktionsbeschreibung
Function attribute;Funktionseigentschaft
Formula of a function;Funktionsgleichung
Function Plotter;Funktionsplotter
Integer;ganze Zahl
Counterexample;Gegenbeispiel
Set square;Geodreieck
Geometric Sequence;geometrische Folge
Equation of a straight line;Geradengleichung
Right-Prism;Gerades Prisma
Equality;Gleichheit
Equations;Gleichungen
Solutions of Equations;Gleichungslsungen
System of equations;Gleichungssystem
System with two equations and two unkonwns;Gleichungssystem mit zwei Unbekannten
Solutions of Systems;Gleichungssystemlsungen
Gradient Vector;Gradient
Graphing Calculator;grafikfhiger Taschenrechner
Plot;Graph
Polynomial graph;Graph einer Polynomfunktion
Cumulative frequency diagram;graphische Darstellnung der Summenhufigkeit
Graphical Representation of Function;graphische Darstellung einer Funktion
Graphical display of data;graphische Darstellung von Daten
Bound;Grenzwert
Frequency;Hufigkeit
Common frequency;Hufigkeit und relative Hufigkeit
Frequencies;Hufigkeiten
Frequency diagram;Hufigkeitsdiagramm
Polygon of frequencies;Hufigkeitspolygone'
Hyperbola;Hyperbel
Hyperbolic function;Hyperbelfunktion
Hypothesis;Hypothese
Icosahedron;Icosaeder
Identity;Identitt
Inductive method;Induktive Methode
Incircle;Inkreis
Integral Transforms;Integraloperator
Interpolation;Interpolation
Irrational Number;irrationale Zahl
Simple solid objects;Krper
Solid objects;Krpern
Cardinality;Kardinalitt
Cardinal number;Kardinalzahl
Cartesian coordinates;kartesische Koodinaten
Cone;Kegel
Conic Section;Kegelschnitt
Combinations;Kombination
Conformal Mappings;konform Abbildungen
Congruences;Kongruenzen
Concave Function;Konkave Funktion
Continuous random variable;konstante Zufallsvariable
Construction of a plot;Konstruktion einer graphischen Darstellung
Contingency table;Kontingenztafel
Convex Function;Konvexe Funktion
Convexity;Konvexitt
Coordinates;Koordinaten
Coordinates of a point;Koordinaten eines Punktes
Cosine;Kosinus
Circle;Kreis
Circular chart;Kreisdiagramm
Pie chart;Kuchendiagramm
Sphere;Kugel
Equation of curve;Kurvengleichung
Quadratic Inequality;Kwadratische Ungleichung
Formula for length;Lngenformel
Central tendency measure;Lagema§zahl
Laplace rule;Laplace Wahrscheinlichkeit
Graduated ruler;Lineal
Ruler;Lineal
Linear function;lineare Funktion
Linear Equation;lineare Gleichung
Linear problems;lineare Probleme
Linear Inequality;Lineare Ungleichung
Linear Inequality With One Variable;lineare Ungleichung mit einer Variable
Linear expression;linearer Ausdruck
Linear equations system;Lineares Gleichungssystem
Linear model;lineares Modell
Line chart;Liniendiagramm
Logarithmic function;Logarithmus-Funktion
Local and global description of a plot;lokale und allgemeine Beschreibung eines Graphen
Median-number;Median
Multiple chart;Mehrfachdiagramm
Sets and Set Operations;Mengen und Mengenoperationen
Meridian;Meridian
Maxima and minima;Minimum und Maximum
Construct with ruler and compass;Mit Zirkel und Lineal konstruieren
Modal class;Modalklasse
Approximate value;Nherungswert
Natural number;natrliche Zahl
Nonlinear model;nicht lineares Modell
Numerical Differentiation;numerische Differenzierung
Numerical Integration;numerische Integration
Upper bound;Obergrenze
Octahedron;Oktaeder
ordinal numbers;Ordinalzahlen
Parabola;Parabel
Equation of a parabola;Parabelgleichung
Right parallelepiped;Parallelepiped 
Parallel projection;Parallelprojektion
Permutations;Permutationen
Platonic solid;Platonischer Krper
Polar Coordinates;Polarkoordinaten
Polyhedron;Polyeder
Polyhedron truncating;Polyeder stutzed
Polyhedron dualize;Polyeder verdoppeln
Polyhedron movement;Polyeder Verschiebung
Polyhedron composition;Polyederaufbau
Polyhedron deformation;Polyederdeformation
Polyhedron unfold;Polyedernetz erstellen
Polyhedron transformation;Polyederumformungen
Polyhedron decomposition;Polyederzerlegung
Polynomial function;Polynomfunktion
Polynomial Inequality;Polynomiale Ungleichung
Power;Potenz
Primes;Primzahlen
Distribution of primes;Primzahlverteilung
Prism;Prisma
Programmable Calculator;programmierbarer Taschenrechner
Projection;Projektion
Percentage;Prozentsatz
Reflection in a point;Punktspiegelung
Pyramid;Pyramide
Cuboid;Quader
Quadratic function;quadratische Funktion
Quadratic Equation;Quadratische Gleichung
Square root;Quadratwurzel
Square Number;Quadratzahl
Rational Function;Rationale Funktion
Linear Rational Function;rationale lineare Funktion
Rational Inequality;Rationale Ungleichung
Rational Number;rationale Zahl
Real number;reelle Zahl
Relative frequency;relative Hufigkeit
Representativity;Reprsentativitt
Rotation;Rotation
Revolution Solid;Rotationskrper
RevolutionSolid;Rotationskrper
Histogram;Sulendiagramm
Diagram;Schaubild
Disc;Scheibe
Skewness;Schiefe
Intersections with the axis;Schnittpunkte mit der x;y- Achse
Variability;Schwankungen
Variability measure;Schwankungsma§
Sector chart;Sektorendiagramm 
Orthogonal projection;senkrechte Projektion
Orthogonal projection of solid;senkrechte Projektion bon Krpern
Simulation;Simulation
Sine;Sinus
Inner product spaces;Skalarproduktrume 
Software Tools;Software Tools
Reflection;Spiegelung
Equation of a spiral;Spiralengleichung
Standard deviation;Standardabweichung
Statistics;Statistik
Summary statistics;Statistiksummarium
Statistical analysis;statistische Analyse
Statistical data;statistische Daten
Statistical table;statistische Tabelle
Bias;Statistische Verzerrung
Statistical range;statistischer Bereich
Reduction;Stauchung
Gradient;Steigungsvektor
Continuity and discontinuity;Stetigkeit und Unstetigkeit
Scale factor;Streckfaktor
Ampliation;Streckung
Spread;Streubreite
Cumulative frequency;Summenhufigkeit
Symbol;Symbol
Symbolic Expression;symbolischer Ausdrucks
Symmetry plane;Symmetrieebene
Table;Tabelle
Double entry table;Tabelle mit doppeltem Eingang
Table with several columns;Tabelle mit mehreren Spalten
Spreadsheet Software;Tabellenkalkulationsprogramm
Tangent of angle;Tangens
Calculator;Taschenrechner
Pigeonhole Principle;Taubenschlagprinzip 
Divisibility;Teilbarkeit
Tetrahedron;Tetraeder
Word problem;Textaufgabe
Transformation;Transformation
Translation;Translation
Trigonometric function;trigonometrische Funktion
Trigonometric ratio;trigonometrisches Verhltnis
Fallacy;Trugschluss
Algebraic Manipulation;Umgang mit algebraischen Ausdrcken
Circumcircle;Umkreis
Unbounded Operators;unbegrenztes Operator
Inequality General;Ungleichheit im allgemeinen
Inequality;Ungleichhung
Lower bound;unterer Grenzwert
Venn Diagrams;Venn-Diagramm
Movement;Verschiebung
Experiments;Versuche
Quartile;Viertelwert
Volume;Volumen
Formula for volume;Volumenformel
Template;Vorlage
Cube;Wrfel
Probability;Wahrscheinlichkeit
Probability density;Wahrscheinlichkeitsdichte
Probability distribution;Wahrscheinlichkeitsverteilung
Tool;Werkzeug
Table of values;Wertetabelle
Proof by contradiction;Widerspruchsbeweis
Bisector-Plane;winkelhalbierenden Ebene
Protractor;Winkelmesser
x coordinate of point;x-Koordinate
y-coordinate of point;y-Koordinate
Number;Zahl
Number Theory;Zahlentheorie
Ratio of numbers;Zahlenverhltnis
Perspective projection;Zentralprojektion
Compass;Zirkel
Random sample;Zufallsauswahl
Random sampling;Zufallsstichprobe
Random variable;Zufallsvariable
Random process;Zufallsverfahren
Complex event;zusammengesetztes Ereignis
Equation of a cycloid;Zykloidengleichung
Cylinder;Zylinder

